item_id,norm_clip_id,source_key,source_name,source_family,generated_media_path,paired_real_release_mode,paired_real_media_path,paired_real_source_url,stage1_assigned_reviewers,stage1_real_judgments,stage2_assigned_reviewers,stage2_real_judgments,all_five_judged_real
hailuo_2_3_fast::L1-01_L2-01a_0005__scene_011,L1-01_L2-01a_0005__scene_011,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01a_0005__scene_011.mp4,media,media/main/real/L1-01/L1-01_L2-01a_0005__scene_011.mp4,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01a_0007__scene_008,L1-01_L2-01a_0007__scene_008,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01a_0007__scene_008.mp4,media,media/main/real/L1-01/L1-01_L2-01a_0007__scene_008.mp4,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01a_0007__scene_011,L1-01_L2-01a_0007__scene_011,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01a_0007__scene_011.mp4,media,media/main/real/L1-01/L1-01_L2-01a_0007__scene_011.mp4,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01b_0005__scene_014,L1-01_L2-01b_0005__scene_014,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01b_0005__scene_014.mp4,media,media/main/real/L1-01/L1-01_L2-01b_0005__scene_014.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01b_0013__scene_006,L1-01_L2-01b_0013__scene_006,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01b_0013__scene_006.mp4,media,media/main/real/L1-01/L1-01_L2-01b_0013__scene_006.mp4,https://www.dvidshub.net/video/893262/hawaii-army-national-guard-provides-water-bucket-support-wildfires-maui,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01b_0014__scene_009,L1-01_L2-01b_0014__scene_009,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01b_0014__scene_009.mp4,media,media/main/real/L1-01/L1-01_L2-01b_0014__scene_009.mp4,https://www.dvidshub.net/video/838399/joint-base-san-antonio-camp-bullis-fire-april-10-2022-b-roll-ii,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01d_0004__scene_001,L1-01_L2-01d_0004__scene_001,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01d_0004__scene_001.mp4,media,media/main/real/L1-01/L1-01_L2-01d_0004__scene_001.mp4,https://www.dvidshub.net/video/971051/texas-guard-czech-firefighters-civilian-responders-conduct-joint-search-operations-near-kerrville-tx,3,3,2,2,True
hailuo_2_3_fast::L1-01_L2-01d_0006__scene_004,L1-01_L2-01d_0006__scene_004,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-01_L2-01d_0006__scene_004.mp4,media,media/main/real/L1-01/L1-01_L2-01d_0006__scene_004.mp4,https://www.dvidshub.net/video/970125/coast-guard-aircrew-conducts-overflight-flooded-areas-texas-hill-country,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02a_0006__scene_012,L1-02_L2-02a_0006__scene_012,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02a_0006__scene_012.mp4,media,media/main/real/L1-02/L1-02_L2-02a_0006__scene_012.mp4,https://www.dvidshub.net/video/22828/operation-tomahawk-strike-11,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02a_0011__scene_043,L1-02_L2-02a_0011__scene_043,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02a_0011__scene_043.mp4,media,media/main/real/L1-02/L1-02_L2-02a_0011__scene_043.mp4,https://www.dvidshub.net/video/1292/3-1-marines-fallujah,3,3,2,2,True
