item_id,condition,norm_clip_id,source_key,source_name,source_family,benchmark_role,label,release_mode,media_path,source_url
T0::real::L1-01_L2-01a_0006__scene_010,T0,L1-01_L2-01a_0006__scene_010,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0006__scene_010.mp4,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll
T0::real::L1-01_L2-01a_0007__scene_006,T0,L1-01_L2-01a_0007__scene_006,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0007__scene_006.mp4,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun
T0::real::L1-01_L2-01a_0007__scene_011,T0,L1-01_L2-01a_0007__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0007__scene_011.mp4,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun
T0::real::L1-01_L2-01a_0008__scene_002,T0,L1-01_L2-01a_0008__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0008__scene_002.mp4,https://www.dvidshub.net/video/892615/cleanup-camp-foster-exchange-after-typhoon-khanun
T0::real::L1-01_L2-01a_0010__scene_029,T0,L1-01_L2-01a_0010__scene_029,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0010__scene_029.mp4,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment
T0::real::L1-01_L2-01a_0010__scene_041,T0,L1-01_L2-01a_0010__scene_041,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0010__scene_041.mp4,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment
T0::real::L1-01_L2-01a_0012__scene_009,T0,L1-01_L2-01a_0012__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0012__scene_009.mp4,https://www.dvidshub.net/video/625765/hurricane-florence-damage-mcb-camp-lejeune
T0::real::L1-01_L2-01a_0015__scene_010,T0,L1-01_L2-01a_0015__scene_010,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01a_0015__scene_010.mp4,https://www.dvidshub.net/video/758724/jackson-tornado-1984
T0::real::L1-01_L2-01b_0005__scene_018,T0,L1-01_L2-01b_0005__scene_018,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0005__scene_018.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll
T0::real::L1-01_L2-01b_0005__scene_025,T0,L1-01_L2-01b_0005__scene_025,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0005__scene_025.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll
T0::real::L1-01_L2-01b_0005__scene_030,T0,L1-01_L2-01b_0005__scene_030,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0005__scene_030.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll
T0::real::L1-01_L2-01b_0010__scene_013,T0,L1-01_L2-01b_0010__scene_013,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0010__scene_013.mp4,https://www.dvidshub.net/video/977626/wildfire-and-rain
T0::real::L1-01_L2-01b_0012__scene_010,T0,L1-01_L2-01b_0012__scene_010,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0012__scene_010.mp4,https://www.dvidshub.net/video/893990/b-roll-cjtf-50-command-visits-wildfire-devastation
T0::real::L1-01_L2-01b_0014__scene_009,T0,L1-01_L2-01b_0014__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01b_0014__scene_009.mp4,https://www.dvidshub.net/video/838399/joint-base-san-antonio-camp-bullis-fire-april-10-2022-b-roll-ii
T0::real::L1-01_L2-01c_0021__scene_001,T0,L1-01_L2-01c_0021__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01c_0021__scene_001.mp4,https://www.dvidshub.net/video/735133/ohio-airmen-respond-puerto-rico-earthquake
T0::real::L1-01_L2-01c_0023__scene_009,T0,L1-01_L2-01c_0023__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01c_0023__scene_009.mp4,https://www.usgs.gov/media/videos/magnitude-92-1964-great-alaska-earthquake
T0::real::L1-01_L2-01d_0003__scene_008,T0,L1-01_L2-01d_0003__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0003__scene_008.mp4,https://www.dvidshub.net/video/971052/texas-guard-engineers-drone-teams-and-czech-firefighters-search-flood-affected-terrain-near-kerrville-tx
T0::real::L1-01_L2-01d_0004__scene_011,T0,L1-01_L2-01d_0004__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0004__scene_011.mp4,https://www.dvidshub.net/video/971051/texas-guard-czech-firefighters-civilian-responders-conduct-joint-search-operations-near-kerrville-tx
T0::real::L1-01_L2-01d_0004__scene_020,T0,L1-01_L2-01d_0004__scene_020,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0004__scene_020.mp4,https://www.dvidshub.net/video/971051/texas-guard-czech-firefighters-civilian-responders-conduct-joint-search-operations-near-kerrville-tx
T0::real::L1-01_L2-01d_0008__scene_012,T0,L1-01_L2-01d_0008__scene_012,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0008__scene_012.mp4,https://www.dvidshub.net/video/944596/usace-removes-debris-lake-lure-north-carolina
T0::real::L1-01_L2-01d_0016__scene_008,T0,L1-01_L2-01d_0016__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0016__scene_008.mp4,https://www.dvidshub.net/video/506476/camp-pendleton-flood-areas
T0::real::L1-01_L2-01d_0017__scene_001,T0,L1-01_L2-01d_0017__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0017__scene_001.mp4,https://www.dvidshub.net/video/506501/camp-pendleton-flood-areas-aerial-view
T0::real::L1-01_L2-01d_0019__scene_001,T0,L1-01_L2-01d_0019__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-01/L1-01_L2-01d_0019__scene_001.mp4,https://www.dvidshub.net/video/627009/flooding-near-nichols-sc
T0::real::L1-02_L2-02a_0002__scene_011,T0,L1-02_L2-02a_0002__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0002__scene_011.mp4,https://www.dvidshub.net/video/526125/82nd-airborne-paratroopers-follow-iraqi-security-forces-through-liberated-mosul-streets
