norm_clip_id,l1_code,l2_code,release_mode,source_url,source_type,rights_review_status,rights_basis,license_text,license_url,attribution_required,attribution_text
L1-01_L2-01a_0003__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/943247/hurricane-hunters-fly-rafael-nov-8-2024,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0003__scene_004,L1-01,L2-01a,media,https://www.dvidshub.net/video/943247/hurricane-hunters-fly-rafael-nov-8-2024,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0004__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/938509/aerial-b-roll-macdill-afb-following-hurricane-helene,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_001,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_002,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_004,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_006,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_007,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_008,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_009,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_011,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_012,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_013,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_014,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0005__scene_016,L1-01,L2-01a,media,https://www.dvidshub.net/video/914127/tornado-sustained-damage-and-clean-up-wright-patterson-air-force-base-2,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_001,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_002,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_005,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_006,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_007,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_009,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_010,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_011,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_013,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_014,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_015,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_017,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_018,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_019,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_022,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_023,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0006__scene_025,L1-01,L2-01a,media,https://www.dvidshub.net/video/901663/jbsa-fort-sam-houston-tornado-b-roll,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_004,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_005,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_006,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_008,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_010,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0007__scene_011,L1-01,L2-01a,media,https://www.dvidshub.net/video/892606/damage-plaza-housing-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0008__scene_002,L1-01,L2-01a,media,https://www.dvidshub.net/video/892615/cleanup-camp-foster-exchange-after-typhoon-khanun,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0009__scene_001,L1-01,L2-01a,media,https://www.dvidshub.net/video/884751/team-andersen-conducts-recovery-operations-after-typhoon-mawar,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0009__scene_002,L1-01,L2-01a,media,https://www.dvidshub.net/video/884751/team-andersen-conducts-recovery-operations-after-typhoon-mawar,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0009__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/884751/team-andersen-conducts-recovery-operations-after-typhoon-mawar,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_002,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_003,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_006,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_011,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_017,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_020,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
L1-01_L2-01a_0010__scene_022,L1-01,L2-01a,media,https://www.dvidshub.net/video/766610/hurlburt-field-hurricane-sally-damage-assessment,DVIDS,public_cleared,us_gov_public_domain,Public Domain,,False,
